hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800","3900","4000"
1000,"263","277","293","308","322","336","352","366","379","395","411","425","438","452","468","483","497","511","527","541","587","603","620","635","650","665","682","698","713","728","745"
1100,"275","290","307","323","338","353","370","385","400","417","434","449","464","479","496","512","527","542","559","574","621","639","657","673","689","705","723","741","757","773","791"
1200,"286","302","321","338","354","371","389","405","421","439","457","473","489","505","523","541","557","573","592","608","656","674","693","711","728","745","764","783","800","817","837"
1300,"298","315","335","353","371","388","407","425","442","461","480","497","515","532","551","570","587","605","624","641","690","710","730","749","767","785","806","825","844","862","883"
1400,"310","328","348","368","387","405","426","444","463","483","503","521","540","558","579","599","617","636","656","674","725","746","767","787","806","826","847","868","887","907","929"
1500,"321","341","362","383","403","423","444","464","483","504","526","546","565","585","606","627","647","667","688","708","759","781","804","824","845","866","888","910","931","952","974"
1600,"333","354","376","399","419","440","463","484","504","526","549","570","591","611","634","656","677","698","720","741","794","817","841","862","884","906","930","953","975","997","1020"
1700,"345","366","390","414","436","457","481","503","525","548","572","594","616","638","662","685","707","729","753","775","828","852","877","900","923","946","971","995","1018","1041","1066"
1800,"356","379","404","429","452","475","500","523","546","570","595","618","641","664","689","714","737","760","785","808","863","888","914","938","962","986","1012","1038","1062","1086","1112"
1900,"368","392","418","444","468","492","518","542","567","592","618","643","667","691","717","743","767","791","817","841","897","924","951","976","1001","1027","1054","1080","1106","1131","1158"
2000,"380","405","432","459","484","510","537","562","587","614","642","667","692","717","745","771","797","822","849","875","932","959","988","1014","1040","1067","1095","1123","1149","1176","1204"
2100,"391","418","446","474","500","527","555","582","608","636","665","691","717","744","772","800","827","853","882","908","966","995","1025","1052","1080","1107","1137","1165","1193","1220","1250"
2200,"403","431","460","489","517","544","574","601","629","658","688","715","743","770","800","829","857","884","914","941","1001","1031","1061","1090","1119","1147","1178","1208","1237","1265","1296"
2300,"415","443","474","504","533","562","592","621","650","680","711","740","768","797","828","858","887","915","946","975","1035","1066","1098","1128","1158","1187","1219","1250","1280","1310","1342"
2400,"426","456","488","519","549","579","611","641","671","702","734","764","794","823","855","887","917","946","978","1008","1070","1102","1135","1166","1197","1228","1261","1293","1324","1355","1388"
2500,"438","469","502","534","565","596","629","660","691","724","757","788","819","850","883","915","946","977","1010","1041","1104","1138","1172","1204","1236","1268","1302","1335","1368","1400","1434"
2600,"450","482","516","550","582","614","648","680","712","746","780","812","844","877","911","944","976","1009","1043","1075","1139","1173","1208","1242","1275","1308","1343","1378","1411","1444","1480"
2700,"461","495","530","565","598","631","667","700","733","768","803","836","870","903","938","973","1006","1040","1075","1108","1173","1209","1245","1280","1314","1348","1385","1420","1455","1489","1525"
2800,"473","507","544","580","614","649","685","719","754","790","826","861","895","930","966","1002","1036","1071","1107","1142","1208","1245","1282","1318","1353","1389","1426","1463","1498","1534","1571"
2900,"485","520","558","595","630","666","704","739","775","812","849","885","920","956","994","1031","1066","1102","1139","1175","1242","1280","1319","1355","1392","1429","1467","1505","1542","1579","1617"
3000,"496","533","572","610","647","683","722","759","796","834","872","909","946","983","1021","1059","1096","1133","1172","1208","1277","1316","1356","1393","1431","1469","1509","1548","1586","1623","1663"
3100,"508","546","586","625","663","701","741","778","816","856","895","933","971","1009","1049","1088","1126","1164","1204","1242","1311","1351","1392","1431","1470","1509","1550","1590","1629","",""
3200,"520","559","600","640","679","718","759","798","837","878","919","958","997","1036","1077","1117","1156","1195","1236","1275","1346","1387","1429","1469","1509","1549","1591","1633","","",""
3300,"531","571","614","655","695","736","778","818","858","900","942","982","1022","1062","1104","1146","1186","1226","1268","1308","1380","1423","1466","1507","1548","1590","1633","","","",""
3400,"543","584","628","670","712","753","796","837","879","921","965","1006","1047","1089","1132","1175","1216","1257","1300","1342","1415","1458","1503","1545","1587","1630","","","","",""
3500,"555","597","642","685","728","770","815","857","900","943","988","1030","1073","1115","1160","1203","1246","1288","1333","1375","1449","1494","1540","1583","1627","","","","","",""
