hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000"
1000,"172","179","188","195","203","210","217","225","232","239","246","255","262","269","276","314","323","331","339","348","386"
1100,"177","185","194","201","210","217","225","234","241","249","256","265","272","280","287","329","338","347","356","366","404"
1200,"182","190","199","207","217","225","233","242","250","258","266","275","283","291","299","344","347","363","373","383","422"
1300,"187","196","205","214","224","232","240","250","259","267","275","285","294","302","310","359","362","379","389","401","440"
1400,"192","201","211","220","230","239","248","258","267","276","285","295","304","313","322","375","377","396","406","418","458"
1500,"197","206","217","226","237","247","256","267","276","285","295","305","315","324","334","390","392","412","423","436","476"
1600,"202","212","223","233","244","254","264","275","285","295","304","316","325","335","345","405","407","428","440","453","494"
1700,"207","217","229","239","251","261","271","283","293","304","314","326","336","346","357","420","422","444","457","471","512"
1800,"212","223","235","246","258","268","279","291","302","313","324","336","347","357","368","435","438","461","474","488","530"
1900,"217","228","241","252","264","276","287","300","311","322","333","346","357","369","380","450","453","477","491","505","548"
2000,"222","233","247","258","271","283","295","308","320","331","343","356","368","380","391","465","468","493","507","523","566"
2100,"227","239","252","265","278","290","303","316","328","341","353","366","379","391","403","480","483","509","524","540","584"
2200,"232","244","258","271","285","298","310","324","337","350","362","376","389","402","414","495","498","526","541","558",""
2300,"237","250","264","277","292","305","318","333","346","359","372","387","400","413","426","510","513","542","558","",""
2400,"241","255","270","284","299","312","326","341","354","368","382","397","410","424","438","525","528","558","","",""
2500,"246","260","276","290","305","320","334","349","363","377","391","407","421","435","449","540","543","","","",""
2600,"251","266","282","296","312","327","341","357","372","387","401","417","432","446","461","555","","","","",""
2700,"256","271","288","303","319","334","349","366","381","396","411","427","442","457","472","","","","","",""
2800,"261","277","294","309","326","341","357","374","389","405","420","437","453","468","","","","","","",""
2900,"266","282","299","315","333","349","365","382","398","414","430","447","463","","","","","","","",""
3000,"271","288","305","322","340","356","373","390","407","423","440","458","","","","","","","","",""
