hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800"
1000,"260","272","286","298","312","324","337","350","363","375","388","401","414","426","439","452","465","477","490","503","546","560","573","588","601","615","628","643","656"
1100,"270","283","298","311","326","339","353","367","381","394","408","422","436","449","463","477","491","504","517","532","576","590","605","620","635","649","664","679","694"
1200,"280","294","310","324","340","354","369","384","399","413","428","443","458","472","486","502","516","531","545","561","606","621","637","653","669","684","700","716","732"
1300,"290","306","322","338","354","369","385","401","417","432","448","464","480","495","510","527","542","558","573","590","636","652","669","686","703","719","735","753","769"
1400,"300","317","334","351","368","384","401","418","435","451","468","485","502","518","534","552","568","585","601","619","666","683","700","719","736","754","771","790","807"
1500,"310","328","346","364","382","400","417","435","453","470","488","506","523","541","558","577","594","612","629","647","695","714","732","752","770","789","807","826","845"
1600,"320","339","358","377","396","415","433","452","471","489","508","527","545","564","582","602","620","638","657","676","725","745","764","785","804","823","843","863","883"
1700,"331","350","370","390","410","430","449","469","489","508","528","548","567","587","606","627","646","665","685","705","755","775","796","817","838","858","878","900","920"
1800,"341","361","382","403","424","445","465","486","507","527","547","569","589","610","630","651","672","692","713","734","785","806","828","850","872","893","914","937","958"
1900,"351","372","394","416","438","460","481","503","525","546","567","590","611","633","654","676","698","719","740","763","815","837","859","883","905","928","950","974","996"
2000,"361","383","407","429","452","475","497","520","543","565","587","611","633","656","678","701","724","746","768","792","845","868","891","916","939","962","986","1010","1034"
2100,"371","394","419","442","466","490","513","537","561","584","607","632","655","678","702","726","750","773","796","821","874","899","923","949","973","997","1022","1047","1071"
2200,"381","405","431","455","480","505","529","554","579","603","627","653","677","701","726","751","775","800","824","849","904","930","955","981","1007","1032","1057","1084","1109"
2300,"391","416","443","468","494","520","545","571","597","622","647","674","699","724","750","776","801","827","852","878","934","960","987","1014","1041","1067","1093","1121","1147"
2400,"401","427","455","481","509","535","561","588","615","641","667","695","721","747","774","801","827","853","880","907","964","991","1019","1047","","","","",""
2500,"411","438","467","494","523","550","577","605","633","660","687","716","743","770","797","826","853","880","908","936","994","1022","1050","","","","","",""
2600,"421","450","479","507","537","565","593","622","651","679","707","737","765","793","821","851","879","907","935","965","1024","","","","","","","",""
2700,"431","461","491","520","551","580","609","639","669","698","727","758","787","816","845","876","905","934","963","994","","","","","","","","",""
2800,"442","472","503","533","565","595","625","656","687","717","747","779","809","839","869","901","931","961","991","","","","","","","","","",""
2900,"452","483","515","546","579","610","641","673","705","736","767","799","831","862","893","925","957","988","","","","","","","","","","",""
3000,"462","494","527","559","593","625","657","690","723","755","787","820","853","885","917","950","983","","","","","","","","","","","",""
