hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800"
1000,"414","427","441","454","469","482","494","509","522","535","548","562","575","588","601","615","628","641","654","668","719","752","766","782","796","810","824","839","853"
1100,"424","439","454","468","483","497","511","526","540","554","568","583","598","612","626","641","655","669","688","704","750","784","799","816","831","846","861","877","892"
1200,"435","450","466","481","497","512","527","544","559","574","589","605","620","635","650","672","687","702","717","734","781","816","832","850","866","882","898","915","932"
1300,"445","461","478","495","512","528","544","561","577","593","610","627","643","659","681","698","714","730","746","763","811","848","865","884","901","918","935","954","971"
1400,"455","473","491","508","526","543","560","579","596","613","630","648","671","688","705","724","741","758","775","793","842","880","898","918","936","954","972","992","1010"
1500,"466","484","503","521","541","559","577","596","614","633","656","676","694","712","730","750","768","786","804","823","873","912","931","952","971","990","1009","1030","1049"
1600,"476","495","516","535","555","574","594","614","633","658","677","697","717","736","755","775","794","814","833","853","904","944","964","986","1006","1026","1047","1068","1088"
1700,"486","507","528","548","570","590","610","631","657","677","698","719","739","759","780","801","821","841","862","883","935","976","997","1020","1041","1062","1084","1106","1127"
1800,"497","518","540","562","584","605","627","655","676","697","718","741","762","783","804","827","848","869","891","913","966","1008","1030","1054","1076","1099","1121","1144","1167"
1900,"507","529","553","575","598","621","649","672","694","717","739","762","785","807","829","853","875","897","919","943","997","1040","1063","1088","1111","1135","1158","1197","1220"
2000,"517","541","565","588","613","642","665","690","713","736","760","784","807","831","854","878","902","925","948","973","1028","1072","1096","1122","1146","1185","1209","1235","1259"
2100,"528","552","577","602","627","657","682","707","731","756","780","806","830","854","879","904","929","953","977","1003","1059","1104","1129","1156","1195","1221","1246","1273","1298"
2200,"538","563","590","615","647","673","698","725","750","775","801","827","853","878","903","930","955","981","1006","1033","1090","1136","1176","1204","1231","1257","1283","1311","1337"
2300,"548","575","602","629","662","688","715","742","769","795","821","849","875","902","928","956","982","1009","1035","1063","1121","1182","1209","1238","1266","1293","1321","1349","1377"
2400,"559","586","615","648","676","704","731","760","787","815","842","871","898","926","953","982","1009","1036","1064","1092","1171","1214","1242","1272","","","","",""
2500,"569","597","633","661","691","719","748","777","806","834","863","892","921","949","978","1007","1036","1064","1112","1142","1202","1246","1275","","","","","",""
2600,"579","609","645","674","705","735","764","795","824","854","883","914","943","973","1002","1033","1063","1112","1141","1172","1233","","","","","","","",""
2700,"589","620","657","688","720","750","781","812","843","873","904","936","966","997","1027","1059","1109","1140","1170","1202","","","","","","","","",""
2800,"600","637","670","701","734","766","797","830","861","893","925","957","989","1020","1052","1104","1136","1167","1199","","","","","","","","","",""
2900,"610","648","682","715","748","781","814","847","880","913","945","979","1012","1044","1077","1130","1163","1195","","","","","","","","","","",""
3000,"626","660","694","728","763","797","830","865","899","932","966","1001","1034","1068","1121","1156","1190","","","","","","","","","","","",""
