hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","Kastgrootte"
1000,"618","629","644","655","671","681","692","707","718","728","739","137"
1100,"626","637","653","664","680","691","702","718","729","740","751","137"
1200,"636","647","664","675","692","704","715","732","743","755","766","150"
1300,"643","655","672","684","701","713","725","742","754","766","778","150"
1400,"651","663","681","693","711","723","735","753","765","778","790","150"
1500,"658","671","689","702","720","733","745","763","776","789","802","150"
1600,"674","688","707","720","739","753","767","785","799","813","826","165"
1700,"682","696","715","729","749","763","777","796","810","824","838","165"
1800,"689","704","724","738","758","772","787","807","821","836","850","165"
1900,"697","712","732","747","767","782","797","817","832","847","862","165"
2000,"704","720","740","756","776","792","807","828","843","858","874","165"
2100,"712","728","749","765","786","801","817","838","854","870","","165"
2200,"720","736","757","773","795","811","827","849","865","","","165"
2300,"727","744","766","782","804","821","837","859","","","","165"
2400,"742","759","782","799","822","840","857","","","","","180"
2500,"749","767","790","808","831","849","867","","","","","180"
