hoogte,"1000","1100","1200","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2500","2600","2700","2800","2900","3000","3100","3200","3300","3400","3500","3600","3700","3800","Kastgrootte"
1000,"318","329","341","352","364","375","386","398","409","420","431","443","454","465","476","488","499","510","520","533","543","554","565","577","588","599","611","622","633","137"
1100,"327","339","351","363","376","387","399","411","423","435","446","459","470","482","493","506","518","529","541","553","565","577","588","601","612","624","637","648","660","137"
1200,"336","348","362","374","387","399","411","425","437","449","461","475","487","499","511","525","537","549","561","574","587","599","611","624","637","649","662","674","686","137"
1300,"347","360","374","387","401","414","427","441","454","467","480","494","507","519","532","546","559","572","585","599","612","625","638","652","665","678","692","705","718","150"
1400,"356","370","384","398","412","426","440","454","468","481","495","510","523","537","550","565","578","592","605","620","634","647","661","675","689","702","717","731","744","150"
1500,"365","379","395","409","424","438","452","468","482","496","510","525","540","554","568","583","597","612","626","641","655","669","684","699","713","727","742","757","771","150"
1600,"374","389","405","420","436","450","465","481","496","511","525","541","556","571","586","602","616","631","646","662","677","692","706","722","737","752","768","783","797","150"
1700,"390","406","422","438","455","471","487","504","519","535","551","568","584","599","615","632","648","664","679","696","712","728","744","760","776","792","809","825","840","165"
1800,"399","415","433","449","467","483","499","517","533","550","566","584","600","617","633","650","667","683","700","717","734","750","766","784","800","817","834","851","867","165"
1900,"408","425","443","460","478","495","512","530","547","564","581","600","617","634","651","669","686","703","720","738","755","772","789","807","824","842","860","877","894","165"
2000,"417","434","453","471","490","507","525","544","561","579","597","616","633","651","669","687","705","723","740","759","777","794","812","831","849","866","885","903","920","165"
2100,"431","450","470","488","508","527","545","565","584","602","621","641","659","678","697","717","735","754","772","792","811","830","848","868","887","905","925","944","","180"
2200,"440","460","480","499","520","539","558","579","598","617","636","657","676","695","715","735","754","774","793","813","832","852","871","891","911","930","","","","180"
2300,"449","469","490","510","531","551","571","592","612","632","652","673","693","713","732","753","773","793","813","834","854","874","894","915","","","","","","180"
2400,"458","479","500","521","543","563","584","605","626","646","667","689","709","730","750","772","792","813","833","855","876","896","917","","","","","","","180"
2500,"467","488","511","532","554","575","596","619","640","661","682","705","726","747","768","790","811","833","854","876","897","918","","","","","","","","180"
2600,"495","518","542","565","589","612","635","659","682","706","729","753","776","799","822","846","869","892","915","939","","","","","","","","","","205"
2700,"504","527","552","576","601","624","648","673","696","720","744","769","792","816","840","864","888","912","935","","","","","","","","","","","205"
2800,"513","537","562","587","612","636","661","686","711","735","759","785","809","833","857","883","907","932","","","","","","","","","","","","205"
2900,"522","547","573","598","624","649","674","700","725","749","774","800","825","850","875","901","926","","","","","","","","","","","","","205"
3000,"531","556","583","609","635","661","686","713","739","764","790","816","842","868","893","920","","","","","","","","","","","","","","205"
