hoogte;500;600;700;800;900;1000;1100;1200;1300;1400;1500
500;69;74;78;82;87;91;96;100;104;109;113
600;73;77;81;86;90;95;99;103;108;112;117
700;76;81;85;90;94;98;103;107;111;116;120
800;80;84;89;93;97;102;106;111;115;119;124
900;83;88;92;97;101;105;110;114;119;123;127
1000;87;91;96;100;104;109;113;118;122;126;131
1100;90;95;99;104;108;112;117;121;126;130;134
1200;94;98;103;107;112;116;120;125;129;134;138
1300;97;102;106;111;115;120;124;128;133;137;142
1400;101;105;110;114;119;123;127;132;136;141;145
1500;104;109;113;118;122;127;131;135;140;144;149
1600;111;117;122;127;132;137;142;147;152;157;162
1700;115;120;125;130;135;141;146;151;156;161;166
1800;118;124;129;134;139;144;149;154;159;164;169
1900;122;127;132;137;142;148;153;158;163;168;173
2000;126;131;136;141;146;151;156;161;166;172;177
2100;129;134;139;144;150;155;160;165;170;175;180
2200;133;138;143;148;153;158;163;168;173;179;184
2300;136;141;146;152;157;162;167;172;177;182;187
2400;140;145;150;155;160;166;171;176;181;186;191
2500;144;149;154;159;164;169;174;179;184;190;195
