hoogte;500;600;700;800;900;1000;1100;1200;1300;1400;1500
500;55;59;62;66;69;73;77;80;83;87;91
600;58;62;65;69;72;76;79;83;86;90;93
700;61;64;68;72;75;79;82;86;89;93;96
800;64;67;71;74;78;82;85;89;92;96;99
900;67;70;74;77;81;84;88;91;95;98;102
1000;69;73;77;80;84;87;91;94;98;101;105
1100;72;76;79;83;86;90;93;97;101;104;108
1200;75;79;82;86;89;93;96;100;103;107;110
1300;78;82;85;89;92;96;99;103;106;110;113
1400;81;84;88;91;95;98;102;105;109;113;116
1500;84;87;91;94;98;101;105;108;112;115;119
1600;90;94;98;103;107;111;115;119;124;128;132
1700;93;97;101;105;110;114;118;122;126;131;135
1800;95;100;104;108;112;117;121;125;129;133;138
1900;98;103;107;111;115;119;124;128;132;136;140
2000;101;105;110;114;118;122;126;131;135;139;143
2100;104;108;112;117;121;125;129;134;138;142;146
2200;107;111;115;119;124;128;132;136;141;145;149
2300;110;114;118;122;127;131;135;139;143;148;152
2400;113;117;121;125;130;134;138;142;146;151;155
2500;116;120;124;128;133;137;141;145;149;154;158
