hoogte;1000;1200;1400;1600;1800;2000;2200;2400;2600;2800;3000;3200;3400;3600;3800;4000;4200;4400;4500
1000;483;503;522;542;562;582;601;621;640;660;679;698;719;740;758;778;799;821;840
1100;492;514;534;554;576;597;617;637;659;679;699;721;742;762;783;803;824;845;866
1200;503;524;546;568;590;611;633;656;677;698;721;742;764;787;807;830;852;873;895
1300;511;534;558;581;604;627;650;672;695;718;741;764;787;811;833;872;909;946;984
1400;522;546;571;595;619;642;666;691;715;740;762;787;812;850;876;897;921;956;991
1500;532;558;582;608;632;657;684;708;733;759;784;807;849;875;902;925;950;974;998
1600;541;567;594;620;647;672;698;725;751;778;805;846;873;897;925;952;977;1003;1028
1700;551;577;606;632;660;687;715;742;769;797;840;867;895;923;951;978;1007;1035;1064
1800;561;590;619;647;676;705;733;761;790;833;861;889;919;947;976;1005;1035;1064;1092
1900;571;601;630;659;689;719;749;778;807;854;882;912;942;972;1000;1028;1058;1088;1117
2000;580;611;641;672;704;734;764;795;843;873;904;934;963;995;1026;1057;1088;1119;1150
2100;590;622;653;685;717;749;780;828;860;892;924;955;988;1019;1050;1083;1115;1148;1179
2200;601;633;666;698;732;764;798;847;880;913;946;979;1012;1045;1077;1110;1144;1176;1209
2300;609;643;678;713;747;780;829;864;897;931;967;1000;1036;1069;1103;1137;1172;1208;1242
2400;620;654;689;725;759;795;846;881;917;953;986;1021;1057;1091;1127;1163;1198;1233;1268
2500;628;665;701;738;774;811;861;897;935;971;1009;1043;1081;1116;1151;1188;1224;1262;1298
2600;639;677;714;751;788;843;880;917;954;991;1028;1066;1105;1141;1179;1193;1251;1289;1327
2700;649;687;725;764;802;857;895;934;974;1012;1049;1088;1127;1165;1181;1219;1257;1294;
2800;659;697;738;776;831;873;912;952;991;1028;1071;1110;1150;1167;1208;1246;1286;;
2900;668;708;749;790;847;887;928;969;1010;1050;1090;1130;1172;1189;1232;1273;;;
3000;678;720;762;803;861;904;945;986;1027;1071;1113;1155;1174;1215;1257;1300;;;
3100;687;733;775;817;874;919;963;1004;1045;1091;1136;1179;1219;1240;1282;;;;
3200;697;745;787;831;887;936;982;1021;1064;1112;1160;1202;1244;1265;;;;;
